Team,Player,P,H/C,Rookie,Nat,School,GP,SOG,KSt,GS,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,PSG,EN,OTG,SOW,Pts/GP,P1/GP,SOG/GP,KSt/GP,GS/GP,5v5 GF%,FO%,PenT,PenD,PIM,FOW,FOL,BkS,GvA,TkA,Sh%,5v5 GF,5v5 GA,DIFF,PenDiff,Player
MET,Nichelle Simon,D,R,*,USA,Hamline/Neumann Univ (DIII),21,15,23,1.88,0,2,1,2,1,,2,1,2,1,,,,0,0,,,,0,0,,,,,0.10,0.05,0.71,1.10,0.09,38.89,35.71,2,2,7,10,18,6,8,5,0.00,7,11,-4,0,Nichelle Simon
CTW,Laurel Hill,D,R,*,CAN,Norbert College (DIII),7,10,13,1.60,0,1,1,1,1,,1,1,1,1,,,,0,0,,,,0,0,,,,,0.14,0.14,1.43,1.86,0.23,40.00,#DIV/0!,2,1,4,,,0,2,3,0.00,2,3,-1,-1,Laurel Hill
BUF,Ana Orzechowski,D,R,*,USA,RPI,23,9,17,1.26,0,1,0,1,0,,1,,1,0,,,,0,0,,,,0,0,,,,1,0.04,0.00,0.39,0.74,0.05,30.56,50.00,2,3,4,1,1,18,6,3,0.00,11,25,-14,1,Ana Orzechowski
BUF,Emma Ruggiero,F,L,*,USA,Buffalo State College (DIII),10,7,8,0.97,0,1,1,1,1,,1,1,1,1,,,,0,0,,,,0,0,,,,,0.10,0.10,0.70,0.80,0.10,66.67,43.48,2,2,4,10,13,2,1,3,0.00,2,1,1,0,Emma Ruggiero
MET,Haley Frade,F,,*,USA,Providence,3,6,8,-0.91,0,1,0,1,0,,1,,1,0,,,,0,0,,,,0,0,,,,,0.33,0.00,2.00,2.67,-0.30,50.00,27.03,2,,4,10,27,0,0,0,0.00,1,1,,-2,Haley Frade
CTW,Alexa Aramburu,F,R,,USA,SUNY-Oswego (DIII),6,17,17,2.06,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,2.83,2.83,0.34,12.50,62.50,2,,4,15,9,1,3,2,0.00,1,7,-6,-2,Alexa Aramburu
BUF,Nikki Kirchberger,F|D,R,*,USA,Buffalo State Bengals,3,3,3,0.00,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,1.00,1.00,0.00,0.00,#DIV/0!,2,2,15,,,2,,,0.00,,1,-1,0,Nikki Kirchberger
MIN,Audra Richards,F,R,,USA,Univ. of Maine,24,78,93,25.24,9,11,6,20,15,7,9,5,16,12,2,2,1,4,3,,,,0,0,,,,,0.83,0.63,3.25,3.88,1.05,65.71,49.02,1,8,2,25,26,4,7,4,0.12,23,12,11,7,Audra Richards
BUF,Brooke Stacey,F,L,*,CAN,Univ. of Maine,14,31,37,17.76,8,8,5,16,13,6,5,4,11,10,1,3,1,4,2,,,,0,0,1,1,,,1.14,0.93,2.21,2.64,1.27,50.00,63.64,1,6,2,7,4,3,2,8,0.26,10,10,0,5,Brooke Stacey
BUF,Mikyla Grant-Mentis,F,,*,CAN,Merrimack,2,8,9,4.54,2,1,1,3,3,1,1,1,2,2,1,,,1,1,,,,0,0,,,,,1.50,1.50,4.00,4.50,2.27,50.00,60.98,1,2,2,25,16,0,0,0,0.25,2,2,0,1,Mikyla Grant-Mentis
MET,Nicole Arnold,F,R,*,USA,Univ. of Maine/St. Louis Univ. (Men's DII),22,20,28,3.55,1,2,2,3,3,1,2,2,3,3,,,,0,0,,,,0,0,,,,,0.14,0.14,0.91,1.27,0.16,29.17,41.07,1,1,2,23,33,9,17,5,0.05,7,17,-10,0,Nicole Arnold
